areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-05-26,3069,3907397
nation,England,E92000001,2021-05-25,2682,3904328
nation,England,E92000001,2021-05-24,2614,3901646
nation,England,E92000001,2021-05-23,1839,3899032
nation,England,E92000001,2021-05-22,1534,3897193
nation,England,E92000001,2021-05-21,1795,3895659
nation,England,E92000001,2021-05-20,1911,3893864
nation,England,E92000001,2021-05-19,2170,3891953
nation,England,E92000001,2021-05-18,2138,3889783
nation,England,E92000001,2021-05-17,2240,3887645
nation,England,E92000001,2021-05-16,1522,3885405
nation,England,E92000001,2021-05-15,1258,3883883
nation,England,E92000001,2021-05-14,1455,3882625
nation,England,E92000001,2021-05-13,1652,3881170
nation,England,E92000001,2021-05-12,1765,3879518
nation,England,E92000001,2021-05-11,1743,3877753
nation,England,E92000001,2021-05-10,2168,3876010
nation,England,E92000001,2021-05-09,1846,3873842
nation,England,E92000001,2021-05-08,1201,3871996
nation,England,E92000001,2021-05-07,1557,3870795
nation,England,E92000001,2021-05-06,1800,3869238
nation,England,E92000001,2021-05-05,2038,3867438
nation,England,E92000001,2021-05-04,2039,3865400
nation,England,E92000001,2021-05-03,1693,3863361
nation,England,E92000001,2021-05-02,1214,3861668
nation,England,E92000001,2021-05-01,1124,3860454
nation,England,E92000001,2021-04-30,1407,3859330
nation,England,E92000001,2021-04-29,1761,3857923
nation,England,E92000001,2021-04-28,2019,3856162
nation,England,E92000001,2021-04-27,1693,3854143
nation,England,E92000001,2021-04-26,2085,3852450
nation,England,E92000001,2021-04-25,1773,3850365
nation,England,E92000001,2021-04-24,1205,3848592
nation,England,E92000001,2021-04-23,1576,3847387
nation,England,E92000001,2021-04-22,1880,3845811
nation,England,E92000001,2021-04-21,2123,3843931
nation,England,E92000001,2021-04-20,1937,3841808
nation,England,E92000001,2021-04-19,2126,3839871
nation,England,E92000001,2021-04-18,2129,3837745
nation,England,E92000001,2021-04-17,1309,3835616
nation,England,E92000001,2021-04-16,1805,3834307
nation,England,E92000001,2021-04-15,1798,3832502
nation,England,E92000001,2021-04-14,1938,3830704
nation,England,E92000001,2021-04-13,1907,3828766
nation,England,E92000001,2021-04-12,2234,3826859
nation,England,E92000001,2021-04-11,1897,3824625
nation,England,E92000001,2021-04-10,1888,3822728
nation,England,E92000001,2021-04-09,2313,3820840
nation,England,E92000001,2021-04-08,2478,3818527
nation,England,E92000001,2021-04-07,2588,3816049
nation,England,E92000001,2021-04-06,2559,3813461
nation,England,E92000001,2021-04-05,2188,3810902
nation,England,E92000001,2021-04-04,1925,3808714
nation,England,E92000001,2021-04-03,2015,3806789
nation,England,E92000001,2021-04-02,2127,3804774
nation,England,E92000001,2021-04-01,2863,3802647
nation,England,E92000001,2021-03-31,3141,3799784
nation,England,E92000001,2021-03-30,2953,3796643
nation,England,E92000001,2021-03-29,3203,3793690
nation,England,E92000001,2021-03-28,4093,3790487
nation,England,E92000001,2021-03-27,2941,3786394
nation,England,E92000001,2021-03-26,3619,3783453
nation,England,E92000001,2021-03-25,4446,3779834
nation,England,E92000001,2021-03-24,5105,3775388
nation,England,E92000001,2021-03-23,4336,3770283
nation,England,E92000001,2021-03-22,5142,3765947
nation,England,E92000001,2021-03-21,4515,3760805
nation,England,E92000001,2021-03-20,3368,3756290
nation,England,E92000001,2021-03-19,4137,3752922
nation,England,E92000001,2021-03-18,4520,3748785
nation,England,E92000001,2021-03-17,4850,3744265
nation,England,E92000001,2021-03-16,4741,3739415
nation,England,E92000001,2021-03-15,5436,3734674
nation,England,E92000001,2021-03-14,3583,3729238
nation,England,E92000001,2021-03-13,3449,3725655
nation,England,E92000001,2021-03-12,4612,3722206
nation,England,E92000001,2021-03-11,4686,3717594
nation,England,E92000001,2021-03-10,5007,3712908
nation,England,E92000001,2021-03-09,5212,3707901
nation,England,E92000001,2021-03-08,5563,3702689
nation,England,E92000001,2021-03-07,3541,3697126
nation,England,E92000001,2021-03-06,3702,3693585
nation,England,E92000001,2021-03-05,4554,3689883
nation,England,E92000001,2021-03-04,4790,3685329
nation,England,E92000001,2021-03-03,5097,3680539
nation,England,E92000001,2021-03-02,5684,3675442
nation,England,E92000001,2021-03-01,5889,3669758
nation,England,E92000001,2021-02-28,3952,3663869
nation,England,E92000001,2021-02-27,4103,3659917
nation,England,E92000001,2021-02-26,5666,3655814
nation,England,E92000001,2021-02-25,6610,3650148
nation,England,E92000001,2021-02-24,7291,3643538
nation,England,E92000001,2021-02-23,8143,3636247
nation,England,E92000001,2021-02-22,9856,3628104
nation,England,E92000001,2021-02-21,6798,3618248
nation,England,E92000001,2021-02-20,6890,3611450
nation,England,E92000001,2021-02-19,8880,3604560
nation,England,E92000001,2021-02-18,9907,3595680
nation,England,E92000001,2021-02-17,10023,3585773
nation,England,E92000001,2021-02-16,10815,3575750
nation,England,E92000001,2021-02-15,12466,3564935
nation,England,E92000001,2021-02-14,7533,3552469
nation,England,E92000001,2021-02-13,7745,3544936
nation,England,E92000001,2021-02-12,10563,3537191
nation,England,E92000001,2021-02-11,11223,3526628
nation,England,E92000001,2021-02-10,11839,3515405
nation,England,E92000001,2021-02-09,12240,3503566
nation,England,E92000001,2021-02-08,13842,3491326
nation,England,E92000001,2021-02-07,10154,3477484
nation,England,E92000001,2021-02-06,10583,3467330
nation,England,E92000001,2021-02-05,13970,3456747
nation,England,E92000001,2021-02-04,16150,3442777
nation,England,E92000001,2021-02-03,17412,3426627
nation,England,E92000001,2021-02-02,17656,3409215
nation,England,E92000001,2021-02-01,20112,3391559
nation,England,E92000001,2021-01-31,13708,3371447
nation,England,E92000001,2021-01-30,15000,3357739
nation,England,E92000001,2021-01-29,19682,3342739
nation,England,E92000001,2021-01-28,21846,3323057
nation,England,E92000001,2021-01-27,23237,3301211
nation,England,E92000001,2021-01-26,24436,3277974
nation,England,E92000001,2021-01-25,27105,3253538
nation,England,E92000001,2021-01-24,15455,3226433
nation,England,E92000001,2021-01-23,19875,3210978
nation,England,E92000001,2021-01-22,26906,3191103
nation,England,E92000001,2021-01-21,28759,3164197
nation,England,E92000001,2021-01-20,31753,3135438
nation,England,E92000001,2021-01-19,35971,3103685
nation,England,E92000001,2021-01-18,40723,3067714
nation,England,E92000001,2021-01-17,26206,3026991
nation,England,E92000001,2021-01-16,27653,3000785
nation,England,E92000001,2021-01-15,36792,2973132
nation,England,E92000001,2021-01-14,38518,2936340
nation,England,E92000001,2021-01-13,41154,2897822
nation,England,E92000001,2021-01-12,44673,2856668
nation,England,E92000001,2021-01-11,51996,2811995
nation,England,E92000001,2021-01-10,32856,2759999
nation,England,E92000001,2021-01-09,35437,2727143
nation,England,E92000001,2021-01-08,42331,2691706
nation,England,E92000001,2021-01-07,46853,2649375
nation,England,E92000001,2021-01-06,51311,2602522
nation,England,E92000001,2021-01-05,58033,2551211
nation,England,E92000001,2021-01-04,69111,2493178
nation,England,E92000001,2021-01-03,49514,2424067
nation,England,E92000001,2021-01-02,54163,2374553
nation,England,E92000001,2021-01-01,28221,2320390
nation,England,E92000001,2020-12-31,46684,2292169
nation,England,E92000001,2020-12-30,62893,2245485
nation,England,E92000001,2020-12-29,72508,2182592
nation,England,E92000001,2020-12-28,40039,2110084
nation,England,E92000001,2020-12-27,42436,2070045
nation,England,E92000001,2020-12-26,36708,2027609
nation,England,E92000001,2020-12-25,12676,1990901
nation,England,E92000001,2020-12-24,28699,1978225
nation,England,E92000001,2020-12-23,37616,1949526
nation,England,E92000001,2020-12-22,40904,1911910
nation,England,E92000001,2020-12-21,42593,1871006
nation,England,E92000001,2020-12-20,28938,1828413
nation,England,E92000001,2020-12-19,21734,1799475
nation,England,E92000001,2020-12-18,31832,1777741
nation,England,E92000001,2020-12-17,29589,1745909
nation,England,E92000001,2020-12-16,30131,1716320
nation,England,E92000001,2020-12-15,29096,1686189
nation,England,E92000001,2020-12-14,29516,1657093
nation,England,E92000001,2020-12-13,18131,1627577
nation,England,E92000001,2020-12-12,16028,1609446
nation,England,E92000001,2020-12-11,19863,1593418
nation,England,E92000001,2020-12-10,18543,1573555
nation,England,E92000001,2020-12-09,17460,1555012
nation,England,E92000001,2020-12-08,16674,1537552
nation,England,E92000001,2020-12-07,17394,1520878
nation,England,E92000001,2020-12-06,10871,1503484
nation,England,E92000001,2020-12-05,10144,1492613
nation,England,E92000001,2020-12-04,12882,1482469
nation,England,E92000001,2020-12-03,12528,1469587
nation,England,E92000001,2020-12-02,13464,1457059
nation,England,E92000001,2020-12-01,13516,1443595
nation,England,E92000001,2020-11-30,15033,1430079
nation,England,E92000001,2020-11-29,8906,1415046
nation,England,E92000001,2020-11-28,9206,1406140
nation,England,E92000001,2020-11-27,12267,1396934
nation,England,E92000001,2020-11-26,12277,1384667
nation,England,E92000001,2020-11-25,13933,1372390
nation,England,E92000001,2020-11-24,14030,1358457
nation,England,E92000001,2020-11-23,16208,1344427
nation,England,E92000001,2020-11-22,10036,1328219
nation,England,E92000001,2020-11-21,10614,1318183
nation,England,E92000001,2020-11-20,14675,1307569
nation,England,E92000001,2020-11-19,15504,1292894
nation,England,E92000001,2020-11-18,18216,1277390
nation,England,E92000001,2020-11-17,20324,1259174
nation,England,E92000001,2020-11-16,23725,1238850
nation,England,E92000001,2020-11-15,14214,1215125
nation,England,E92000001,2020-11-14,16038,1200911
nation,England,E92000001,2020-11-13,21649,1184873
nation,England,E92000001,2020-11-12,21942,1163224
nation,England,E92000001,2020-11-11,24646,1141282
nation,England,E92000001,2020-11-10,24464,1116636
nation,England,E92000001,2020-11-09,28093,1092172
nation,England,E92000001,2020-11-08,17963,1064079
nation,England,E92000001,2020-11-07,16615,1046116
nation,England,E92000001,2020-11-06,20823,1029501
nation,England,E92000001,2020-11-05,20876,1008678
nation,England,E92000001,2020-11-04,20696,987802
nation,England,E92000001,2020-11-03,22310,967106
nation,England,E92000001,2020-11-02,27924,944796
nation,England,E92000001,2020-11-01,13367,916872
nation,England,E92000001,2020-10-31,14347,903505
nation,England,E92000001,2020-10-30,19643,889158
nation,England,E92000001,2020-10-29,19978,869515
nation,England,E92000001,2020-10-28,20231,849537
nation,England,E92000001,2020-10-27,20485,829306
nation,England,E92000001,2020-10-26,22755,808821
nation,England,E92000001,2020-10-25,13164,786066
nation,England,E92000001,2020-10-24,13518,772902
nation,England,E92000001,2020-10-23,18102,759384
nation,England,E92000001,2020-10-22,19615,741282
nation,England,E92000001,2020-10-21,21486,721667
nation,England,E92000001,2020-10-20,21338,700181
nation,England,E92000001,2020-10-19,22107,678843
nation,England,E92000001,2020-10-18,11855,656736
nation,England,E92000001,2020-10-17,12350,644881
nation,England,E92000001,2020-10-16,14547,632531
nation,England,E92000001,2020-10-15,15242,617984
nation,England,E92000001,2020-10-14,16447,602742
nation,England,E92000001,2020-10-13,15434,586295
nation,England,E92000001,2020-10-12,16191,570861
nation,England,E92000001,2020-10-11,9651,554670
nation,England,E92000001,2020-10-10,10153,545019
nation,England,E92000001,2020-10-09,13009,534866
nation,England,E92000001,2020-10-08,15266,521857
nation,England,E92000001,2020-10-07,15190,506591
nation,England,E92000001,2020-10-06,14297,491401
nation,England,E92000001,2020-10-05,14033,477104
nation,England,E92000001,2020-10-04,9833,463071
nation,England,E92000001,2020-10-03,9700,453238
nation,England,E92000001,2020-10-02,11575,443538
nation,England,E92000001,2020-10-01,11305,431963
nation,England,E92000001,2020-09-30,10519,420658
nation,England,E92000001,2020-09-29,8717,410139
nation,England,E92000001,2020-09-28,8579,401422
nation,England,E92000001,2020-09-27,6024,392843
nation,England,E92000001,2020-09-26,5647,386819
nation,England,E92000001,2020-09-25,6037,381172
nation,England,E92000001,2020-09-24,6288,375135
nation,England,E92000001,2020-09-23,5887,368847
nation,England,E92000001,2020-09-22,5356,362960
nation,England,E92000001,2020-09-21,4699,357604
nation,England,E92000001,2020-09-20,4625,352905
nation,England,E92000001,2020-09-19,4179,348280
nation,England,E92000001,2020-09-18,4274,344101
nation,England,E92000001,2020-09-17,3939,339827
nation,England,E92000001,2020-09-16,3742,335888
nation,England,E92000001,2020-09-15,3040,332146
nation,England,E92000001,2020-09-14,2897,329106
nation,England,E92000001,2020-09-13,1708,326209
nation,England,E92000001,2020-09-12,2206,324501
nation,England,E92000001,2020-09-11,2857,322295
nation,England,E92000001,2020-09-10,3099,319438
nation,England,E92000001,2020-09-09,2851,316339
nation,England,E92000001,2020-09-08,3000,313488
nation,England,E92000001,2020-09-07,3462,310488
nation,England,E92000001,2020-09-06,2056,307026
nation,England,E92000001,2020-09-05,2189,304970
nation,England,E92000001,2020-09-04,2591,302781
nation,England,E92000001,2020-09-03,2665,300190
nation,England,E92000001,2020-09-02,2615,297525
nation,England,E92000001,2020-09-01,1928,294910
nation,England,E92000001,2020-08-31,1261,292982
nation,England,E92000001,2020-08-30,976,291721
nation,England,E92000001,2020-08-29,1041,290745
nation,England,E92000001,2020-08-28,1383,289704
nation,England,E92000001,2020-08-27,1325,288321
nation,England,E92000001,2020-08-26,1136,286996
nation,England,E92000001,2020-08-25,1061,285860
nation,England,E92000001,2020-08-24,1132,284799
nation,England,E92000001,2020-08-23,696,283667
nation,England,E92000001,2020-08-22,715,282971
nation,England,E92000001,2020-08-21,1006,282256
nation,England,E92000001,2020-08-20,1218,281250
nation,England,E92000001,2020-08-19,1073,280032
nation,England,E92000001,2020-08-18,924,278959
nation,England,E92000001,2020-08-17,1136,278035
nation,England,E92000001,2020-08-16,530,276899
nation,England,E92000001,2020-08-15,643,276369
nation,England,E92000001,2020-08-14,1038,275726
nation,England,E92000001,2020-08-13,1020,274688
nation,England,E92000001,2020-08-12,1096,273668
nation,England,E92000001,2020-08-11,1211,272572
nation,England,E92000001,2020-08-10,1350,271361
nation,England,E92000001,2020-08-09,555,270011
nation,England,E92000001,2020-08-08,635,269456
nation,England,E92000001,2020-08-07,866,268821
nation,England,E92000001,2020-08-06,980,267955
nation,England,E92000001,2020-08-05,942,266975
nation,England,E92000001,2020-08-04,920,266033
nation,England,E92000001,2020-08-03,938,265113
nation,England,E92000001,2020-08-02,512,264175
nation,England,E92000001,2020-08-01,494,263663
nation,England,E92000001,2020-07-31,626,263169
nation,England,E92000001,2020-07-30,858,262543
nation,England,E92000001,2020-07-29,972,261685
nation,England,E92000001,2020-07-28,779,260713
nation,England,E92000001,2020-07-27,807,259934
nation,England,E92000001,2020-07-26,515,259127
nation,England,E92000001,2020-07-25,493,258612
nation,England,E92000001,2020-07-24,718,258119
nation,England,E92000001,2020-07-23,730,257401
nation,England,E92000001,2020-07-22,746,256671
nation,England,E92000001,2020-07-21,689,255925
nation,England,E92000001,2020-07-20,753,255236
nation,England,E92000001,2020-07-19,413,254483
nation,England,E92000001,2020-07-18,467,254070
nation,England,E92000001,2020-07-17,548,253603
nation,England,E92000001,2020-07-16,642,253055
nation,England,E92000001,2020-07-15,724,252413
nation,England,E92000001,2020-07-14,650,251689
nation,England,E92000001,2020-07-13,691,251039
nation,England,E92000001,2020-07-12,353,250348
nation,England,E92000001,2020-07-11,419,249995
nation,England,E92000001,2020-07-10,520,249576
nation,England,E92000001,2020-07-09,683,249056
nation,England,E92000001,2020-07-08,672,248373
nation,England,E92000001,2020-07-07,559,247701
nation,England,E92000001,2020-07-06,656,247142
nation,England,E92000001,2020-07-05,541,246486
nation,England,E92000001,2020-07-04,386,245945
nation,England,E92000001,2020-07-03,542,245559
nation,England,E92000001,2020-07-02,565,245017
nation,England,E92000001,2020-07-01,615,244452
nation,England,E92000001,2020-06-30,573,243837
nation,England,E92000001,2020-06-29,667,243264
nation,England,E92000001,2020-06-28,410,242597
nation,England,E92000001,2020-06-27,504,242187
nation,England,E92000001,2020-06-26,642,241683
nation,England,E92000001,2020-06-25,634,241041
nation,England,E92000001,2020-06-24,727,240407
nation,England,E92000001,2020-06-23,730,239680
nation,England,E92000001,2020-06-22,815,238950
nation,England,E92000001,2020-06-21,550,238135
nation,England,E92000001,2020-06-20,628,237585
nation,England,E92000001,2020-06-19,819,236957
nation,England,E92000001,2020-06-18,943,236138
nation,England,E92000001,2020-06-17,910,235195
nation,England,E92000001,2020-06-16,991,234285
nation,England,E92000001,2020-06-15,938,233294
nation,England,E92000001,2020-06-14,743,232356
nation,England,E92000001,2020-06-13,791,231613
nation,England,E92000001,2020-06-12,943,230822
nation,England,E92000001,2020-06-11,912,229879
nation,England,E92000001,2020-06-10,1079,228967
nation,England,E92000001,2020-06-09,1053,227888
nation,England,E92000001,2020-06-08,991,226835
nation,England,E92000001,2020-06-07,665,225844
nation,England,E92000001,2020-06-06,725,225179
nation,England,E92000001,2020-06-05,1022,224454
nation,England,E92000001,2020-06-04,1144,223432
nation,England,E92000001,2020-06-03,1237,222288
nation,England,E92000001,2020-06-02,1348,221051
nation,England,E92000001,2020-06-01,1314,219703
nation,England,E92000001,2020-05-31,986,218389
nation,England,E92000001,2020-05-30,998,217403
nation,England,E92000001,2020-05-29,1371,216405
nation,England,E92000001,2020-05-28,1571,215034
nation,England,E92000001,2020-05-27,1610,213463
nation,England,E92000001,2020-05-26,1449,211853
nation,England,E92000001,2020-05-25,1376,210404
nation,England,E92000001,2020-05-24,1201,209028
nation,England,E92000001,2020-05-23,1301,207827
nation,England,E92000001,2020-05-22,1791,206526
nation,England,E92000001,2020-05-21,2269,204735
nation,England,E92000001,2020-05-20,2342,202466
nation,England,E92000001,2020-05-19,2583,200124
nation,England,E92000001,2020-05-18,2204,197541
nation,England,E92000001,2020-05-17,1586,195337
nation,England,E92000001,2020-05-16,1767,193751
nation,England,E92000001,2020-05-15,2128,191984
nation,England,E92000001,2020-05-14,2211,189856
nation,England,E92000001,2020-05-13,2884,187645
nation,England,E92000001,2020-05-12,2917,184761
nation,England,E92000001,2020-05-11,3063,181844
nation,England,E92000001,2020-05-10,2002,178781
nation,England,E92000001,2020-05-09,1793,176779
nation,England,E92000001,2020-05-08,2619,174986
nation,England,E92000001,2020-05-07,3204,172367
nation,England,E92000001,2020-05-06,3260,169163
nation,England,E92000001,2020-05-05,3135,165903
nation,England,E92000001,2020-05-04,2843,162768
nation,England,E92000001,2020-05-03,2631,159925
nation,England,E92000001,2020-05-02,2740,157294
nation,England,E92000001,2020-05-01,4084,154554
nation,England,E92000001,2020-04-30,4306,150470
nation,England,E92000001,2020-04-29,4727,146164
nation,England,E92000001,2020-04-28,4106,141437
nation,England,E92000001,2020-04-27,4029,137331
nation,England,E92000001,2020-04-26,3134,133302
nation,England,E92000001,2020-04-25,3372,130168
nation,England,E92000001,2020-04-24,4346,126796
nation,England,E92000001,2020-04-23,4553,122450
nation,England,E92000001,2020-04-22,4797,117897
nation,England,E92000001,2020-04-21,3976,113100
nation,England,E92000001,2020-04-20,3676,109124
nation,England,E92000001,2020-04-19,3470,105448
nation,England,E92000001,2020-04-18,4105,101978
nation,England,E92000001,2020-04-17,4068,97873
nation,England,E92000001,2020-04-16,4348,93805
nation,England,E92000001,2020-04-15,4217,89457
nation,England,E92000001,2020-04-14,3541,85240
nation,England,E92000001,2020-04-13,3428,81699
nation,England,E92000001,2020-04-12,2941,78271
nation,England,E92000001,2020-04-11,3060,75330
nation,England,E92000001,2020-04-10,3578,72270
nation,England,E92000001,2020-04-09,4057,68692
nation,England,E92000001,2020-04-08,4286,64635
nation,England,E92000001,2020-04-07,4566,60349
nation,England,E92000001,2020-04-06,4372,55783
nation,England,E92000001,2020-04-05,3075,51411
nation,England,E92000001,2020-04-04,3379,48336
nation,England,E92000001,2020-04-03,4080,44957
nation,England,E92000001,2020-04-02,4066,40877
nation,England,E92000001,2020-04-01,4122,36811
nation,England,E92000001,2020-03-31,3784,32689
nation,England,E92000001,2020-03-30,3514,28905
nation,England,E92000001,2020-03-29,2436,25391
nation,England,E92000001,2020-03-28,2368,22955
nation,England,E92000001,2020-03-27,2649,20587
nation,England,E92000001,2020-03-26,2609,17938
nation,England,E92000001,2020-03-25,2256,15329
nation,England,E92000001,2020-03-24,2027,13073
nation,England,E92000001,2020-03-23,2011,11046
nation,England,E92000001,2020-03-22,1206,9035
nation,England,E92000001,2020-03-21,1031,7829
nation,England,E92000001,2020-03-20,1087,6798
nation,England,E92000001,2020-03-19,926,5711
nation,England,E92000001,2020-03-18,908,4785
nation,England,E92000001,2020-03-17,681,3877
nation,England,E92000001,2020-03-16,545,3196
nation,England,E92000001,2020-03-15,396,2651
nation,England,E92000001,2020-03-14,315,2255
nation,England,E92000001,2020-03-13,392,1940
nation,England,E92000001,2020-03-12,414,1548
nation,England,E92000001,2020-03-11,353,1134
nation,England,E92000001,2020-03-10,227,781
nation,England,E92000001,2020-03-09,125,554
nation,England,E92000001,2020-03-08,50,429
nation,England,E92000001,2020-03-07,55,379
nation,England,E92000001,2020-03-06,73,324
nation,England,E92000001,2020-03-05,46,251
nation,England,E92000001,2020-03-04,49,205
nation,England,E92000001,2020-03-03,53,156
nation,England,E92000001,2020-03-02,38,103
nation,England,E92000001,2020-03-01,20,65
nation,England,E92000001,2020-02-29,5,45
nation,England,E92000001,2020-02-28,11,40
nation,England,E92000001,2020-02-27,7,29
nation,England,E92000001,2020-02-26,4,22
nation,England,E92000001,2020-02-25,5,18
nation,England,E92000001,2020-02-24,2,13
nation,England,E92000001,2020-02-23,1,11
nation,England,E92000001,2020-02-22,0,10
nation,England,E92000001,2020-02-21,1,10
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,0,9
nation,England,E92000001,2020-02-12,0,9
nation,England,E92000001,2020-02-11,1,9
nation,England,E92000001,2020-02-10,0,8
nation,England,E92000001,2020-02-09,1,8
nation,England,E92000001,2020-02-08,4,7
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,0,3
nation,England,E92000001,2020-02-05,1,3
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,0,2
nation,England,E92000001,2020-01-30,2,2
nation,Northern Ireland,N92000002,2021-07-13,587,134144
nation,Northern Ireland,N92000002,2021-07-12,516,133557
nation,Northern Ireland,N92000002,2021-07-11,480,133041
nation,Northern Ireland,N92000002,2021-07-10,480,132561
nation,Northern Ireland,N92000002,2021-07-09,612,132081
nation,Northern Ireland,N92000002,2021-07-08,652,131469
nation,Northern Ireland,N92000002,2021-07-07,650,130817
nation,Northern Ireland,N92000002,2021-07-06,554,130167
nation,Northern Ireland,N92000002,2021-07-05,525,129613
nation,Northern Ireland,N92000002,2021-07-04,394,129088
nation,Northern Ireland,N92000002,2021-07-03,357,128694
nation,Northern Ireland,N92000002,2021-07-02,395,128337
nation,Northern Ireland,N92000002,2021-07-01,430,127942
nation,Northern Ireland,N92000002,2021-06-30,426,127512
nation,Northern Ireland,N92000002,2021-06-29,407,127086
nation,Northern Ireland,N92000002,2021-06-28,324,126679
nation,Northern Ireland,N92000002,2021-06-27,210,126355
nation,Northern Ireland,N92000002,2021-06-26,249,126145
nation,Northern Ireland,N92000002,2021-06-25,264,125896
nation,Northern Ireland,N92000002,2021-06-24,230,125632
nation,Northern Ireland,N92000002,2021-06-23,208,125402
nation,Northern Ireland,N92000002,2021-06-22,206,125194
nation,Northern Ireland,N92000002,2021-06-21,192,124988
nation,Northern Ireland,N92000002,2021-06-20,132,124796
nation,Northern Ireland,N92000002,2021-06-19,123,124664
nation,Northern Ireland,N92000002,2021-06-18,144,124541
nation,Northern Ireland,N92000002,2021-06-17,189,124397
nation,Northern Ireland,N92000002,2021-06-16,164,124208
nation,Northern Ireland,N92000002,2021-06-15,164,124044
nation,Northern Ireland,N92000002,2021-06-14,130,123880
nation,Northern Ireland,N92000002,2021-06-13,80,123750
nation,Northern Ireland,N92000002,2021-06-12,69,123670
nation,Northern Ireland,N92000002,2021-06-11,110,123601
nation,Northern Ireland,N92000002,2021-06-10,126,123491
nation,Northern Ireland,N92000002,2021-06-09,98,123365
nation,Northern Ireland,N92000002,2021-06-08,103,123267
nation,Northern Ireland,N92000002,2021-06-07,88,123164
nation,Northern Ireland,N92000002,2021-06-06,49,123076
nation,Northern Ireland,N92000002,2021-06-05,80,123027
nation,Northern Ireland,N92000002,2021-06-04,80,122947
nation,Northern Ireland,N92000002,2021-06-03,89,122867
nation,Northern Ireland,N92000002,2021-06-02,90,122778
nation,Northern Ireland,N92000002,2021-06-01,70,122688
nation,Northern Ireland,N92000002,2021-05-31,59,122618
nation,Northern Ireland,N92000002,2021-05-30,36,122559
nation,Northern Ireland,N92000002,2021-05-29,63,122523
nation,Northern Ireland,N92000002,2021-05-28,75,122460
nation,Northern Ireland,N92000002,2021-05-27,88,122385
nation,Northern Ireland,N92000002,2021-05-26,75,122297
nation,Northern Ireland,N92000002,2021-05-25,62,122222
nation,Northern Ireland,N92000002,2021-05-24,84,122160
nation,Northern Ireland,N92000002,2021-05-23,55,122076
nation,Northern Ireland,N92000002,2021-05-22,67,122021
nation,Northern Ireland,N92000002,2021-05-21,82,121954
nation,Northern Ireland,N92000002,2021-05-20,85,121872
nation,Northern Ireland,N92000002,2021-05-19,95,121787
nation,Northern Ireland,N92000002,2021-05-18,106,121692
